epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,91.4412,1.25459,2.26547,1.97512,0.27526,0.71058,0.39579,0.32007,0.68721,1.52289,1.40155,0.00996324,0.00332108,0.00996324,0.00332108,0.00996324,0.00332108,0.00996324,0.00332108
2,172.211,0.59324,1.48477,1.30747,0.36813,0.67242,0.48257,0.4256,0.51101,1.33279,0.87236,0.0197656,0.00658853,0.0197656,0.00658853,0.0197656,0.00658853,0.0197656,0.00658853
3,248.021,0.5358,1.41044,1.24526,0.39362,0.67281,0.50949,0.40144,0.75317,1.30261,1.27659,0.02937,0.00978999,0.02937,0.00978999,0.02937,0.00978999,0.02937,0.00978999
4,324.072,0.49511,1.35554,1.20132,0.46601,0.66613,0.55623,0.4728,0.57101,1.12941,0.88584,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,399.834,0.43416,1.29402,1.15257,0.45181,0.65342,0.54846,0.4611,0.62473,1.17758,1.06844,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,475.594,0.39594,1.24789,1.12121,0.43388,0.77572,0.61681,0.53471,0.56529,1.05732,0.88888,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,551.358,0.37441,1.22413,1.10802,0.48581,0.7269,0.63467,0.55528,0.61029,1.02359,0.94804,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,626.714,0.35566,1.19886,1.09375,0.53312,0.75924,0.64089,0.56445,0.5572,0.95867,0.83185,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,702.653,0.33791,1.17651,1.0774,0.53521,0.74714,0.63659,0.54701,0.6405,0.97971,0.91982,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,778.493,0.3256,1.15632,1.07001,0.52663,0.79344,0.65152,0.57085,0.57984,0.91594,0.88878,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,854.525,0.31589,1.13509,1.06466,0.51468,0.67795,0.63795,0.55443,0.61015,1.04299,0.90392,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,929.704,0.3057,1.13191,1.05432,0.56916,0.74957,0.66257,0.58353,0.62341,0.89681,0.91103,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1005.8,0.29961,1.12178,1.05091,0.53294,0.71874,0.66014,0.57075,0.62577,0.97339,0.92546,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1081.49,0.29322,1.1134,1.04838,0.57203,0.79829,0.69315,0.61048,0.54341,0.88487,0.79973,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1157.11,0.28471,1.1044,1.03942,0.53794,0.78576,0.68121,0.59704,0.60071,0.9009,0.85218,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1232.88,0.28347,1.09795,1.0412,0.60829,0.72982,0.70773,0.62411,0.53627,0.90184,0.80568,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1308.67,0.27285,1.08629,1.03234,0.59222,0.76236,0.7001,0.61777,0.50409,0.87626,0.75346,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1384.58,0.26734,1.0786,1.02995,0.58793,0.76765,0.68468,0.60062,0.58713,0.95285,0.85349,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1460.23,0.26357,1.0735,1.02453,0.58843,0.74268,0.677,0.60548,0.51632,0.90852,0.77255,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1536.05,0.261,1.07301,1.02472,0.59892,0.74,0.6725,0.58903,0.56999,0.93443,0.84163,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1611.96,0.2585,1.0658,1.02476,0.63604,0.75192,0.71795,0.63702,0.54314,0.83198,0.78698,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1688.08,0.25463,1.05605,1.01976,0.62217,0.75712,0.71728,0.61882,0.6097,0.85926,0.91243,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1763.68,0.24732,1.0446,1.0145,0.56846,0.76116,0.69392,0.6216,0.52583,0.91836,0.77576,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1839.6,0.24689,1.03969,1.01465,0.61475,0.7505,0.72328,0.64537,0.55574,0.84319,0.79536,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1915.77,0.24485,1.04179,1.01461,0.6663,0.73525,0.7353,0.65441,0.54352,0.84076,0.79919,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1992.1,0.23996,1.03074,1.0115,0.63204,0.75718,0.73017,0.6567,0.49698,0.81067,0.74596,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2067.97,0.23564,1.02879,1.00733,0.60262,0.77052,0.73487,0.6502,0.56994,0.82337,0.82244,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2143.81,0.23643,1.02384,1.00852,0.63121,0.76192,0.71576,0.6428,0.52869,0.82952,0.81099,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2219.29,0.23424,1.03102,1.00723,0.61255,0.77545,0.72238,0.6464,0.55641,0.82874,0.8044,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2295.17,0.23146,1.01275,1.00571,0.60294,0.80085,0.73241,0.66012,0.48145,0.83467,0.7154,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2371.11,0.22807,1.0142,1.00222,0.63112,0.75154,0.73529,0.66092,0.51166,0.82446,0.74576,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2446.95,0.22463,1.00243,0.99996,0.6507,0.74541,0.74595,0.66799,0.51098,0.79943,0.7653,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2523.13,0.2254,1.00683,1.00026,0.64845,0.76358,0.74373,0.65991,0.55386,0.78714,0.79628,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2598.92,0.2175,0.98291,0.99396,0.62188,0.77584,0.74618,0.66592,0.55173,0.79174,0.82754,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2674.69,0.21968,0.99318,0.99678,0.65675,0.71433,0.73309,0.65964,0.52623,0.82954,0.7461,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2750.51,0.21552,0.98515,0.99637,0.61618,0.79682,0.74095,0.66607,0.51186,0.79407,0.74675,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2825.94,0.21342,0.98199,0.99228,0.60398,0.8266,0.75774,0.68136,0.50457,0.80107,0.73166,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2902.09,0.21393,0.9825,0.99328,0.67279,0.73744,0.75273,0.6758,0.52518,0.76874,0.76853,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2978.1,0.21167,0.97782,0.99245,0.63802,0.7847,0.74939,0.67508,0.48542,0.76904,0.71588,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3053.73,0.20796,0.96816,0.98961,0.63006,0.8128,0.74927,0.67663,0.50922,0.77696,0.72578,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3129.76,0.21144,0.96849,0.99468,0.65476,0.76715,0.75113,0.67933,0.47854,0.76264,0.69958,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3205.31,0.20572,0.96494,0.98872,0.65449,0.78006,0.7611,0.68567,0.49775,0.76807,0.736,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3280.72,0.20763,0.9663,0.9908,0.66297,0.76696,0.75842,0.68298,0.49054,0.74628,0.71418,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3356.57,0.20334,0.96116,0.98784,0.64694,0.78347,0.74922,0.67604,0.51013,0.77882,0.75027,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3432.01,0.20108,0.96035,0.98739,0.64204,0.79239,0.75913,0.68288,0.48867,0.75417,0.72581,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3507.68,0.20144,0.95917,0.98673,0.64727,0.79612,0.75535,0.68123,0.48197,0.76344,0.69881,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3583.57,0.2013,0.95437,0.98612,0.64541,0.8105,0.75329,0.68136,0.49668,0.78834,0.71345,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3659.65,0.19705,0.95387,0.98273,0.65499,0.80902,0.76396,0.68808,0.50093,0.75057,0.71688,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3734.73,0.19751,0.9417,0.98516,0.65629,0.79605,0.76696,0.69001,0.50372,0.76759,0.72449,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
